gene_symbol,Control_rep2,Control_rep3,siCHD4_rep1,siCHD4_rep2,siCHD4_rep3,siARID1A_rep1,siARID1A_rep2,siARID1A_rep3,siCHD4siARID1A_rep1,siCHD4siARID1A_rep2,siCHD4siARID1A_rep3
PEX10,4.899783256,4.70295322,5.150727605,5.031857367,5.203086311,4.745386773,4.685544227,4.8992023,4.940076703,4.866436427,4.835093414
PLCH2,0,0,0,0,0,0,0,0,0,0,0
PANK4,3.966519575,4.13873618,4.315743331,4.484173411,4.413301044,3.995929321,4.118631158,4.122529091,4.509951303,4.249642715,4.48457415
HES5,0,0,0,0,0,0,0,0,0,0,0
TNFRSF14,0.933114331,0.926244341,1.308356401,1.048952726,0.845091985,1.920914744,0.910867484,1.148067147,0.924076748,1.149092449,0.85607317
LOC100996583,0,0,0,0,0,0,0,0,0,0,0
PRXL2B,2.912860145,3.092540789,2.817008625,2.907515589,3.043878404,2.632666235,2.089718497,2.751327173,2.763997483,2.792095542,2.381987819
MMEL1,0,0.113497158,0,0,0.110547565,0,0,0,0,0,0.1123805
TTC34,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0
PRDM16-DT,0,0,0,0,0,0,0.233931168,0,0,0.11261059,0
PRDM16,0,0.218713002,0.3575584,0.236549226,0.213223904,0.455808023,0.121701854,0.33411903,0.113151241,0,0.404948768
MIR4251,0,0,0,0,0,0,0,0,0,0,0
ARHGEF16,1.833025985,2.301201425,2.403035651,2.218009301,2.44882801,1.920914744,1.898612622,1.665269184,1.916093218,2.267714358,2.359390195
MEGF6,4.907751854,4.760718882,5.258005433,5.078247144,5.221679724,4.827913967,4.900613879,4.790189387,4.897270166,4.929288723,4.975443912
MIR551A,0,0,0,0,0.110547565,0,0,0,0,0,0
TPRG1L,5.73691473,5.620826314,5.577693378,5.68682385,5.503295484,5.312308209,5.555607249,5.362243287,5.318951054,5.23628855,5.475818495
