"Art1","Art2","Art3","AstroAQP1","AstroPLCG1","AstroSERPINI2","B.cell","Bcell_plasma","capEndo","CD4","CD8","CD8_6_1_3","DC","FBMC","fibroblast","gbmEndo_9_1","gbmEndo_9_1a","gbmEndo_9_3","gbmEndo_9_4","gbmEndoPeri_1","gbmEndoPeri_2","gbmFib_4","gbmFib_5","gbmFib_6","gbmPeri","granulocyte","mac_5_1_2","mac_5_1_3","mac_prolif","mg_1_1","mg_1_3","mg_prolif","migDC","monocyte","Neurons_Ex","Neurons_In","NKT","nonclassic_mo","Oligo_2_1","Oligo_2_2","Oligo_2_3_1","Oligo_2_3_2","OPC","pericyte","RBC","SMC","T_prolif","TC_AC","TC_mesh","TC_mesnh","TC_MTC","TC_NPC","TC_oligo","TC_OPC","TC_prolif","Treg","Venous","Venule"
,,,,,,,,,,,,,,,,,,,,"DNAJC3","SLC2A10",,,,,,,,,,,,,"TARBP1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"UBE2Z","CTF1",,,,,,,,,,,,,"PLEKHA6",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ST3GAL2","ERG28",,,,,,,,,,,,,"MYO5A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ATP10D","CA3",,,,,,,,,,,,,"OR2L13",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ARID1A","EPM2AIP1",,,,,,,,,,,,,"RNF144A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SDHC","KLHDC2",,,,,,,,,,,,,"ST8SIA3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SDHAF2","ARMCX2",,,,,,,,,,,,,"WDPCP",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ARCN1","FBRSL1",,,,,,,,,,,,,"ICA1L",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RRAGA","GALT",,,,,,,,,,,,,"SPHKAP",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SVBP","FNDC10",,,,,,,,,,,,,"ANKRD42",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"C14orf132","TPMT",,,,,,,,,,,,,"BAALC",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NUCB1","FOLR1",,,,,,,,,,,,,"ST6GAL2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"UROS","LRCH4",,,,,,,,,,,,,"CUX2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZFPM1","NYNRIN",,,,,,,,,,,,,"KCNH3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"IRGQ","RWDD4",,,,,,,,,,,,,"DIRAS2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZNF787","TTLL3",,,,,,,,,,,,,"NOS1AP",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RAB22A","APOL6",,,,,,,,,,,,,"C11orf80",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RNF11","BEND5",,,,,,,,,,,,,"KRT222",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"GDE1","TMEM9",,,,,,,,,,,,,"ELAVL4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CETP","TCTEX1D2",,,,,,,,,,,,,"FAM160A1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"FAM210B","ZIC5",,,,,,,,,,,,,"SH3RF3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MRPS36","GPRASP2",,,,,,,,,,,,,"DPY19L2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"WWC3","PNPLA4",,,,,,,,,,,,,"GRAMD1B",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZNF618","FAM122A",,,,,,,,,,,,,"KCNN2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CNIH1","NUMBL",,,,,,,,,,,,,"IQSEC1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DNAJA4","SPATA20",,,,,,,,,,,,,"ERICH3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MAP3K3","PPIL3",,,,,,,,,,,,,"MARCH7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CTNNBL1","TWSG1",,,,,,,,,,,,,"RGS6",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"YIPF1","KLHL35",,,,,,,,,,,,,"CPNE4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RFK","THYN1",,,,,,,,,,,,,"HSF4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TNKS1BP1","SIX4",,,,,,,,,,,,,"PCSK1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RFXANK","MUC1",,,,,,,,,,,,,"MTFMT",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DUSP8","AC007906.2",,,,,,,,,,,,,"GNMT",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"GDF15","TAF12",,,,,,,,,,,,,"RPS6KC1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"EPOR","SLC38A4",,,,,,,,,,,,,"JAZF1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SNAP23","SSH3",,,,,,,,,,,,,"OGDHL",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SPTY2D1","TMEM53",,,,,,,,,,,,,"BRAF",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TMEM74B","C11orf1",,,,,,,,,,,,,"KCNA1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZNF844","MCOLN3",,,,,,,,,,,,,"HIVEP2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MACO1","TMEM42",,,,,,,,,,,,,"UNC5A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"WIPI2","TCTN3",,,,,,,,,,,,,"VGLL4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"VPS16","MAN2B2",,,,,,,,,,,,,"CAMSAP2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"BMS1","C11orf54",,,,,,,,,,,,,"FARS2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DDX42","DACT1",,,,,,,,,,,,,"ITFG1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SEPHS2","B3GNT9",,,,,,,,,,,,,"MYH10",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"B3GALT6","PYROXD2",,,,,,,,,,,,,"DFFB",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DHRS4L2","REC8",,,,,,,,,,,,,"JAKMIP1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RMDN1","SLC16A5",,,,,,,,,,,,,"TMEM241",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"POLR2B","LRRC42",,,,,,,,,,,,,"KIAA1841",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"HMOX2","TMEM80",,,,,,,,,,,,,"SBK1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NSMCE3","PLXNA3",,,,,,,,,,,,,"SCAI",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DPH3","CBY1",,,,,,,,,,,,,"ZFYVE28",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TPGS1","PENK",,,,,,,,,,,,,"NIN",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"HMGXB3","SLC35E2A",,,,,,,,,,,,,"GPATCH8",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PPP4R2","CMTR2",,,,,,,,,,,,,"SGCE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"LYRM2","ISCA2",,,,,,,,,,,,,"RAP1GAP",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PGRMC2","GPRASP1",,,,,,,,,,,,,"NLK",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"NCBP3","ERLIN2",,,,,,,,,,,,,"NETO1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TMEM126A","RING1",,,,,,,,,,,,,"CLVS2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"AP2A2","IL17RC",,,,,,,,,,,,,"HS3ST2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"USP38","CNPY4",,,,,,,,,,,,,"NR6A1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CHRAC1","AR",,,,,,,,,,,,,"PRKAG2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"KRT18","C11orf71",,,,,,,,,,,,,"ATG7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PIP5K1C","CCHCR1",,,,,,,,,,,,,"EML5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CNOT9","CIART",,,,,,,,,,,,,"GDA",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"C6orf89","PEX2",,,,,,,,,,,,,"RAPGEFL1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SNW1","TKFC",,,,,,,,,,,,,"KHDC1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"EIF2B2","DHRS1",,,,,,,,,,,,,"NCKAP1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"TFPT","MOV10",,,,,,,,,,,,,"KCNQ5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RBM12","MDGA1",,,,,,,,,,,,,"PDE1A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"THAP12","MINDY4",,,,,,,,,,,,,"OR2AG2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PAIP1","DHFR2",,,,,,,,,,,,,"HMGCLL1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"OTUD5","DNAJC30",,,,,,,,,,,,,"TRAF3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DMWD","LPIN3",,,,,,,,,,,,,"UNC5D",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DNAJA2","PDK2",,,,,,,,,,,,,"ARMC9",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ERGIC1","THAP7",,,,,,,,,,,,,"HHAT",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ANO1","MPI",,,,,,,,,,,,,"NFAT5",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"COPG1","CAD",,,,,,,,,,,,,"CPEB1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"GIPC3","PTGR2",,,,,,,,,,,,,"CAMKK2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZC3H18","AC240274.1",,,,,,,,,,,,,"CLASP1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MAPK6","FAM53C",,,,,,,,,,,,,"KCNQ2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"VPS35L","COQ8B",,,,,,,,,,,,,"MSRA",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SLC12A4","PEX11A",,,,,,,,,,,,,"ZNF365",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZBTB10","HEMK1",,,,,,,,,,,,,"SLC5A4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SUPT6H","HDAC10",,,,,,,,,,,,,"TAGLN3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PDHB","CASP6",,,,,,,,,,,,,"VPS13A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PRSS12","HFE",,,,,,,,,,,,,"VTI1A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"AGO2","TMEM216",,,,,,,,,,,,,"FAM49B",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CACNA1H","ZNF783",,,,,,,,,,,,,"HTR2C",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RNF139","",,,,,,,,,,,,,"TTC39C",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ACBD3",,,,,,,,,,,,,,"EXTL1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MAPKAPK2",,,,,,,,,,,,,,"TANGO2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RLIM",,,,,,,,,,,,,,"BEND6",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MOSMO",,,,,,,,,,,,,,"CACNG8",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ICOSLG",,,,,,,,,,,,,,"MAGI3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"OTULIN",,,,,,,,,,,,,,"PDE3B",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"MIA2",,,,,,,,,,,,,,"ST7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"FEM1C",,,,,,,,,,,,,,"NEIL1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CDR2L",,,,,,,,,,,,,,"SLC13A3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"SLC35B3",,,,,,,,,,,,,,"AGTPBP1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"HERPUD2",,,,,,,,,,,,,,"AP3B2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"RAB29",,,,,,,,,,,,,,"CD36",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"CCDC25",,,,,,,,,,,,,,"MAST1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"DHX32",,,,,,,,,,,,,,"PPP1R12B",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PCDHB16",,,,,,,,,,,,,,"NCOA7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"ZDHHC5",,,,,,,,,,,,,,"SLC26A4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"EMC3",,,,,,,,,,,,,,"FAR2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"BAZ2A",,,,,,,,,,,,,,"GRM4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PPP6R1",,,,,,,,,,,,,,"KIAA1671",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PHYHIP",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FAM153A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HS6ST2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RFPL2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOGA3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HDAC4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KCTD8",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMY2B",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FBXW7",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GABRD",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IARS",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAB15",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RNLS",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"STRC",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADAMTS19",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAP2K4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRKAA2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EPHA10",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PKNOX2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TPD52",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDS1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MTA3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAB11FIP4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AACS",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RPH3A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FZD3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MCHR2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C2orf80",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHN2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAST3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CBLN2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DYNC2H1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PIP4K2C",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KCNAB2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KIAA0930",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAP7D2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UGGT2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ROCK2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TMOD2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNC13A",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAP4K3",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ABLIM2",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GDPD1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGEF",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GPR22",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
